symbol	ncbi_gene_id
Mitf	17342
Pias2	17344
Mllt10	17354
Aff1	17355
Foxk1	17425
Mnt	17428
Meis2	17536
Meis3	17537
Msc	17681
Cited2	17684
Msx1	17701
Msx2	17702
Msx3	17703
Mtf1	17764
Mtf2	17765
Mxi1	17859
Myb	17863
Mybl1	17864
Mybl2	17865
Myc	17869
Mycs	17870
Myef2	17876
Myf5	17877
Myf6	17878
Myod1	17927
Myog	17928
Myt1	17932
Myt1l	17933
Nab1	17936
Nab2	17937
Naca	17938
Naip2	17948
Naip5	17951
Nbr1	17966
Ncoa1	17977
Ncoa2	17978
Ncoa3	17979
Ndrg1	17988
Neurod1	18012
Neurod2	18013
Neurog1	18014
Nfatc1	18018
Nfatc2	18019
Nfatc3	18021
Nfe2	18022
Nfe2l1	18023
Nfe2l2	18024
Nfe2l3	18025
Nfia	18027
Nfib	18028
Nfic	18029
Nfil3	18030
Nfix	18032
Nfkb1	18033
Nfkb2	18034
Nfkbia	18035
Nfkbib	18036
Nfkbie	18037
Nfya	18044
Nfyb	18045
Nfyc	18046
Nhlh1	18071
Nhlh2	18072
Nkx22	18088
Nkx23	18089
Nkx25	18091
Nkx26	18092
Nkx29	18094
Nkx31	18095
Nkx61	18096
Mycn	18109
Nr4a3	18124
Notch1	18128
Notch2	18129
Notch3	18131
Notch4	18132
Zfml	18139
Uhrf1	18140
Npas1	18142
Npas2	18143
Npdc1	18146
Nr1i2	18171
Nrf1	18181
Nrl	18185
Nr4a2	18227
Nobox	18291
Sebox	18292
Sqstm1	18412
Otp	18420
Otx1	18423
Otx2	18424
Ovol1	18426
Pax1	18503
Pax2	18504
Pax3	18505
Pax4	18506
Pax5	18507
Pax6	18508
Pax7	18509
Pax8	18510
Pax9	18511
Pbx1	18514
Pbx2	18515
Pbx3	18516
Pcsk1	18548
Pdcd2	18567
Pdx1	18609
Etv4	18612
Peg3	18616
Rhox5	18617
Per1	18626
Per2	18627
Per3	18628
Pgr	18667
Phf2	18676
Phtf1	18685
Pou1f1	18736
Pitx1	18740
Pitx2	18741
Pitx3	18742
Pja1	18744
Pknox1	18771
Pa2g4	18813
Pml	18854
Prrx1	18933
Phox2b	18935
Pnn	18949
Cnot7	18983
Pou2af1	18985
Pou2f2	18987
Pou2f3	18988
Pou3f1	18991
Pou3f2	18992
Pou3f3	18993
Pou3f4	18994
Pou4f1	18996
Pou4f2	18997
Pou4f3	18998
Pou5f1	18999
Pou6f1	19009
Ppara	19013
Med1	19014
Ppard	19015
Pparg	19016
Ppargc1a	19017
Prop1	19127
Prox1	19130
Psmc3ip	19183
Rhox6	19202
Ptf1a	19213
Ptrf	19285
Pura	19290
Purb	19291
Pex2	19302
Rai1	19377
Rara	19401
Rarg	19411
Rax	19434
Rb1	19645
Rbl1	19650
Rbl2	19651
Rbpj	19664
Rbpjl	19668
Rel	19696
Rela	19697
Relb	19698
Dpf2	19708
Rest	19712
Rex2	19715
Trim27	19720
Rfx1	19724
Rfx2	19725
Rfx3	19726
Rfxank	19727
Ring1	19763
C80913	19777
Rnf12	19820
Rnf2	19821
Rnf4	19822
Rnf7	19823
Trim10	19824
Rora	19883
Rorc	19885
Sub1	20024
Trim30	20128
Ruvbl2	20174
Rxra	20181
Rxrb	20182
Rxrg	20183
Uimc1	20184
Ncor1	20185
Nr1h4	20186
Prrx2	20204
Sart1	20227
Satb1	20230
Nkx12	20231
Scx	20289
Foxp3	20371
Sfpi1	20375
Zfp106	20402
Ostf1	20409
Shox2	20429
Siah2	20439
Sim1	20464
Sim2	20465
Six1	20471
Six2	20472
Six3	20473
Six4	20474
Six5	20475
Six6	20476
Ski	20481
Skil	20482
Snai2	20583
