species	MGI	UniProtKB	gene	ID
MOUSE	88355	P15116	Cadherin-2	Cdh2
MOUSE	3646013	Q0V8T7	Contactin-associated protein like 5-3	Cntnap5c
MOUSE	1921763	Q8BNJ6	Neuropilin and tolloid-like protein 2	Neto2
MOUSE	1928097	Q9DCK3	Tetraspanin-4	Tspan4
MOUSE	1916042	Q8R054	Sushi repeat-containing protein SRPX2	Srpx2
MOUSE	107434	P97291	Cadherin-8	Cdh8
MOUSE	1858497	Q9EQS9	Immunoglobulin superfamily DCC subclass member 4	Igdcc4
MOUSE	1333797	O54689	C-C chemokine receptor type 6	Ccr6
MOUSE	97282	O35136	Neural cell adhesion molecule 2	Ncam2
MOUSE	2685563	Q80TF3	Protocadherin-19	Pcdh19
MOUSE	1858201	O54991	Contactin-associated protein 1	Cntnap1
MOUSE	96610	P09055	Integrin beta-1	Itgb1
MOUSE	1921298	Q9D659	Platelet receptor Gi24	unassigned
MOUSE	1099832	P26039	Talin-1	Tln1
MOUSE	1923113	Q8BNX1	C-type lectin domain family 4 member G	Clec4g
MOUSE	2148316	Q52KG3	"Melanoma antigen, family E, 2"	Magee2
MOUSE	1346069	Q9Z0M3	Cadherin-20	Cdh20
MOUSE	2668347	Q8K182	Complement component C8 alpha chain	C8a
MOUSE	2136740	Q91XZ4	Protein Pcdhb6	Pcdhb6
MOUSE	1935121	Q6P1D5	Seizure 6-like protein	Sez6l
MOUSE	1920629	Q91ZV3	"Discoidin, CUB and LCCL domain-containing protein 2"	Dcbld2
MOUSE	1931250	Q99PA5	Protein NKG7	Nkg7
MOUSE	104651	P40237	CD82 antigen	Cd82
MOUSE	1289160	O70255	Myelin protein zero-like protein 2	Mpzl2
MOUSE	99551	Q9WTR5	Cadherin-13	Cdh13
MOUSE	2138351	Q8BH32	Sushi domain-containing protein 4	Susd4
MOUSE	1891420	Q9ERE8	Mesoderm development candidate 1	Mesdc1
MOUSE	88476	Q61147	Ceruloplasmin	Cp
MOUSE	1890219	Q99PF4	Cadherin-23	Cdh23
MOUSE	106921	Q56A07	Sodium channel subunit beta-2	Scn2b
MOUSE	2443439	Q8VDV0	Integrin beta-like protein 1	Itgbl1
MOUSE	1096398	P35762	CD81 antigen	Cd81
MOUSE	2386401	V9GX34	Protein Csmd2 (Fragment)	Csmd2
MOUSE	1196617	O70131	Ninjurin-1	Ninj1
MOUSE	88383	Q06194	Coagulation factor VIII	F8
MOUSE	106672	P33146	Cadherin-15	Cdh15
MOUSE	106656	O88799	Zonadhesin	Zan
MOUSE	1860487	E9Q2S0	Protein Pcdh7	Pcdh7
MOUSE	1916392	D3Z1H5	"MCG132033, isoform CRA_a"	Cd209f
MOUSE	88463	Q00780	Collagen alpha-1(VIII) chain	Col8a1
MOUSE	1915748	Q9D1D1	Tetraspanin-11	Tspan11
MOUSE	2136738	Q91XZ6	Protein Pcdhb4	Pcdhb4
MOUSE	99499	O35902	Desmoglein-3	Dsg3
MOUSE	1930187	Q9QYH6	Melanoma-associated antigen D1	Maged1
MOUSE	1916415	Q8CJ91	CD209 antigen-like protein B	Cd209b
MOUSE	2685354	E9PZ19	Protein Igsf9b	Igsf9b
MOUSE	1917799	Q71LX4	Talin-2	Tln2
MOUSE	3046414	Q6HA09	Astacin-like metalloendopeptidase	Astl
MOUSE	1929940	Q9R069	Basal cell adhesion molecule	Bcam
MOUSE	1921502	Q9D7A8	Armadillo repeat-containing protein 1	Armc1
MOUSE	88354	P09803	Cadherin-1	Cdh1
MOUSE	88385	P06909	Complement factor H	Cfh
MOUSE	1923692	Q9D780	SLAM family member 9	Slamf9
MOUSE	2136760	Q91XZ8	Protein Pcdhb22	Pcdhb22
MOUSE	1298389	Q9Z2H6	C-type lectin domain family 4 member D	Clec4d
MOUSE	2442118	E9PVG8	Protein 9530053A07Rik	9530053A07Rik
MOUSE	104850	Q61475	"Complement decay-accelerating factor, GPI-anchored"	Cd55
MOUSE	1918132	A2AU72	Armadillo repeat-containing protein 3	Armc3
MOUSE	1277979	Q3UV74	Integrin beta-2-like protein	Itgb2l
MOUSE	88322	P35329	B-cell receptor CD22	Cd22
MOUSE	88341	Q61451	Leukocyte surface antigen CD53	Cd53
MOUSE	99959	P82198	Transforming growth factor-beta-induced protein ig-h3	Tgfbi
MOUSE	97290	P25233	Necdin	Ndn
MOUSE	2385295	Q4V9Z5	Seizure 6-like protein 2	Sez6l2
MOUSE	1917673	F7BWT7	Tetraspanin-15	Tspan15
MOUSE	1339364	Q80Z19	Mucin-2 (Fragments)	Muc2
MOUSE	3646642	A7E1W8	Protein Siglec15	Siglec15
MOUSE	1919290	Q8VHF2	Cadherin-related family member 5	Cdhr5
MOUSE	1916885	Q80YE7	Death-associated protein kinase 1	Dapk1
MOUSE	1349162	P18828	Syndecan-1	Sdc1
MOUSE	2445125	Q6U7R4	T-cell immunoglobulin and mucin domain-containing protein 4	Timd4
MOUSE	2677838	A2AJ76	Hemicentin-2	Hmcn2
MOUSE	1916114	Q8VED9	Galectin-related protein	Lgalsl
MOUSE	98926	P29533	Vascular cell adhesion protein 1	Vcam1
MOUSE	1928096	P62080	Tetraspanin-5	Tspan5
MOUSE	1934582	Q9EQ16	C-X-C chemokine receptor type 6	Cxcr6
MOUSE	97281	P13595	Neural cell adhesion molecule 1	Ncam1
MOUSE	3588198	E9Q3A7	Protein Cdh19	Cdh19
MOUSE	106185	P51683	C-C chemokine receptor type 2	Ccr2
MOUSE	2136744	E9Q5G2	Protein Pcdhb9	Pcdhb9
MOUSE	98940	P29788	Vitronectin	Vtn
MOUSE	2685355	Q3V1H3	Hephaestin-like protein 1	Hephl1
MOUSE	1923456	Q3V3A3	"MCG22200, isoform CRA_b"	Gpr165
MOUSE	107824	P51680	C-C chemokine receptor type 4	Ccr4
MOUSE	98279	P18337	L-selectin	Sell
MOUSE	1928330	Q6PFX6	Cadherin-24	Cdh24
MOUSE	109294	Q07763	Natural killer cell receptor 2B4	Cd244
MOUSE	2136756	Q91Y02	Protein Pcdhb18	Pcdhb18
MOUSE	109563	P70658	C-X-C chemokine receptor type 4	Cxcr4
MOUSE	1858430	P59222	Scavenger receptor class F member 2	Scarf2
MOUSE	96392	P13597	Intercellular adhesion molecule 1	Icam1
