species	MGI	UniProtKB	gene	ID
MOUSE	106912	Q61549	EGF-like module-containing mucin-like hormone receptor-like 1	Emr1
MOUSE	3606482	Q8CF98	Collectin-10	Colec10
MOUSE	2180850	Q8VI93	2'-5'-oligoadenylate synthase 3	Oas3
MOUSE	95924	Q9QWV1	H2-O alpha	H2-Oa
MOUSE	1918576	Q8K558	Trem-like transcript 1 protein	Treml1
MOUSE	2135283	Q05BQ1	Protein turtle homolog A	Igsf9
MOUSE	2679260	Q80YA8	Protein crumbs homolog 2	Crb2
MOUSE	2135589	Q91V08	C-type lectin domain family 2 member D	Clec2d
MOUSE	1858209	O70340	Neuronal pentraxin-2	Nptx2
MOUSE	1914695	Q8R066	Complement C1q tumor necrosis factor-related protein 4	C1qtnf4
MOUSE	1201402	P56484	C-C chemokine receptor type 8	Ccr8
MOUSE	2151153	Q6AZB0	Brother of CDO	Boc
MOUSE	1927667	P82019	Beta-defensin 4	Defb4
MOUSE	2448533	D3YX43	V-set and immunoglobulin domain-containing protein 10	Vsig10
MOUSE	1918937	Q9DCF1	Transmembrane protein 25	Tmem25
MOUSE	103107	O88947	Coagulation factor X	F10
MOUSE	2179198	Q8R2I6	Beta-defensin 9	Defb9
MOUSE	2675273	Q9CZQ6	Retinoic acid early-inducible protein 1-epsilon	Raet1e
MOUSE	1934666	Q8CGD2	Cysteine-rich secretory protein LCCL domain-containing 1	Crispld1
MOUSE	2685955	Q3V3Z3	Probable G-protein coupled receptor 114	Gpr114
MOUSE	2136733	Q5IXF8	Glucagon-like peptide 2 receptor	Glp2r
MOUSE	101774	P11911	B-cell antigen receptor complex-associated protein alpha chain	Cd79a
MOUSE	2672974	Q70KL3	Beta-defensin 39	Defb39
MOUSE	3774845	B1B213	Histocompatibility-60c (Precursor)	H60c
MOUSE	88233	E9Q6D8	Protein C6	C6
MOUSE	2137383	Q923L3	CUB and sushi domain-containing protein 1	Csmd1
MOUSE	96877	Q0ZUP1	Killer cell lectin-like receptor subfamily B member 1	Klrb1
MOUSE	101950	Q60755	Calcitonin receptor	Calcr
MOUSE	88228	P01029	Complement C4-B	C4b
MOUSE	2179205	Q8R2I8	Beta-defensin 10	Defb10
MOUSE	2152695	B1AVK5	Protein Col4a6	Col4a6
MOUSE	2442722	Q8BLQ9	Cell adhesion molecule 2	Cadm2
MOUSE	95915	Q31093	"Histocompatibility 2, M region locus 3"	H2-M3
MOUSE	2441732	Q8BM96	Probable G-protein coupled receptor 128	Gpr128
MOUSE	97801	P41593	Parathyroid hormone/parathyroid hormone-related peptide receptor	Pth1r
MOUSE	95708	P16882	Growth hormone receptor	Ghr
MOUSE	97787	P07743	BPI fold-containing family A member 2	Bpifa2
MOUSE	88447	Q64739	Collagen alpha-2(XI) chain	Col11a2
MOUSE	2655562	Q923X1	"EGF, latrophilin seven transmembrane domain-containing protein 1"	Eltd1
MOUSE	1916042	Q8R054	Sushi repeat-containing protein SRPX2	Srpx2
MOUSE	1858497	Q9EQS9	Immunoglobulin superfamily DCC subclass member 4	Igdcc4
MOUSE	1333797	O54689	C-C chemokine receptor type 6	Ccr6
MOUSE	97282	O35136	Neural cell adhesion molecule 2	Ncam2
MOUSE	2685312	Q2UY11	Collagen alpha-1(XXVIII) chain	Col28a1
MOUSE	97364	O35516	Neurogenic locus notch homolog protein 2	Notch2
MOUSE	104641	P48759	Pentraxin-related protein PTX3	Ptx3
MOUSE	3644873	F6XWB2	Uncharacterized protein	Igkv1-115
MOUSE	2179197	Q8R2I7	Beta-defensin 11	Defb11
MOUSE	2686370	P04945	Ig kappa chain V-VI region NQ2-6.1	unassigned
MOUSE	97429	Q8K469	2'-5'olygoadenylate synthetase 1G	Oas1g
MOUSE	1920638	Q9D9J8	BPI fold-containing family A member 3	Bpifa3
MOUSE	88456	Q63ZW6	Col4a5 protein	Col4a5
MOUSE	1889810	P0C191	Platelet glycoprotein VI	Gp6
MOUSE	1923113	Q8BNX1	C-type lectin domain family 4 member G	Clec4g
MOUSE	3809200	G3UZV7	Protein Trav9n-1	Trav9n-1
MOUSE	1926142	Q8BZQ2	Cysteine-rich secretory protein LCCL domain-containing 2	Crispld2
MOUSE	1276570	O19442	"Histocompatibility 2, M region locus 9, isoform CRA_b"	H2-M9
MOUSE	2668347	Q8K182	Complement component C8 alpha chain	C8a
MOUSE	1935121	Q6P1D5	Seizure 6-like protein	Sez6l
MOUSE	1921503	Q3UM83	Killer cell lectin-like receptor subfamily G member 2	Klrg2
MOUSE	95925	O35424	IAbeta2 subunit	H2-Ob
MOUSE	2143266	E9Q9A6	Protein Il20rb	Il20rb
MOUSE	95895	P01910	"H-2 class II histocompatibility antigen, A-K alpha chain"	H2-Aa
MOUSE	1918943	Q3SXB8	Collectin-11	Colec11
MOUSE	3045315	Q67E05	Bactericidal permeability-increasing protein	Bpi
MOUSE	2444608	Q8BRU4	C-type lectin domain family 9 member A	Clec9a
MOUSE	2138351	Q8BH32	Sushi domain-containing protein 4	Susd4
MOUSE	95896	P14427	"H-2 class I histocompatibility antigen, D-P alpha chain"	H2-D1
MOUSE	2687364	Q85ZW5	"Histocompatibility 2, M region locus 10.6"	H2-M10.6
MOUSE	2179989	Q8HWE5	MHC I like leukocyte 2	Mill2
MOUSE	894686	A2ACT7	"Procollagen, type IX, alpha 3"	Col9a3
MOUSE	1915345	Q9CRD0	OCIA domain-containing protein 1	Ociad1
MOUSE	2386401	V9GX34	Protein Csmd2 (Fragment)	Csmd2
MOUSE	95937	P14430	"H-2 class I histocompatibility antigen, Q8 alpha chain"	H2-Q8
MOUSE	1336212	Q8C567	Natural cytotoxicity triggering receptor 1	Ncr1
