Ligand.ApprovedSymbol	ligand_mouse	Receptor.ApprovedSymbol	receptor_mouse
BDNF	Bdnf	NGFRAP1	Ngfrap1
BDNF	Bdnf	NTRK2	Ntrk2
BDNF	Bdnf	SORT1	Sort1
BGN	Bgn	LY96	Ly96
BGN	Bgn	TLR1	Tlr1
BGN	Bgn	TLR2	Tlr2
BGN	Bgn	TLR4	Tlr4
BMP10	Bmp10	ACVR1	Acvr1
BMP10	Bmp10	ACVR2A	Acvr2a
BMP10	Bmp10	ACVR2B	Acvr2b
BMP10	Bmp10	ACVRL1	Acvrl1
BMP10	Bmp10	BMPR1A	Bmpr1a
BMP10	Bmp10	BMPR1B	Bmpr1b
BMP10	Bmp10	BMPR2	Bmpr2
BMP10	Bmp10	ENG	Eng
BMP15	Bmp15	ACVR1	Acvr1
BMP15	Bmp15	ACVR2A	Acvr2a
BMP15	Bmp15	ACVR2B	Acvr2b
BMP15	Bmp15	BMPR1A	Bmpr1a
BMP15	Bmp15	BMPR1B	Bmpr1b
BMP15	Bmp15	BMPR2	Bmpr2
BMP2	Bmp2	ACVR1	Acvr1
BMP2	Bmp2	ACVR2A	Acvr2a
BMP2	Bmp2	ACVR2B	Acvr2b
BMP2	Bmp2	BMPR1A	Bmpr1a
BMP2	Bmp2	BMPR1B	Bmpr1b
BMP2	Bmp2	BMPR2	Bmpr2
BMP2	Bmp2	ENG	Eng
BMP2	Bmp2	HFE2	Hfe2
BMP3	Bmp3	ACVR1	Acvr1
BMP3	Bmp3	ACVR2A	Acvr2a
BMP3	Bmp3	ACVR2B	Acvr2b
BMP3	Bmp3	BMPR1A	Bmpr1a
BMP3	Bmp3	BMPR1B	Bmpr1b
BMP3	Bmp3	BMPR2	Bmpr2
BMP4	Bmp4	ACVR1	Acvr1
BMP4	Bmp4	ACVR2A	Acvr2a
BMP4	Bmp4	ACVR2B	Acvr2b
BMP4	Bmp4	BMPR1A	Bmpr1a
BMP4	Bmp4	BMPR1B	Bmpr1b
BMP4	Bmp4	BMPR2	Bmpr2
BMP4	Bmp4	HFE2	Hfe2
BMP5	Bmp5	ACVR1	Acvr1
BMP5	Bmp5	ACVR2A	Acvr2a
BMP5	Bmp5	ACVR2B	Acvr2b
BMP5	Bmp5	BMPR1A	Bmpr1a
BMP5	Bmp5	BMPR1B	Bmpr1b
BMP5	Bmp5	BMPR2	Bmpr2
BMP5	Bmp5	HFE2	Hfe2
BMP6	Bmp6	ACVR1	Acvr1
BMP6	Bmp6	ACVR2A	Acvr2a
BMP6	Bmp6	ACVR2B	Acvr2b
BMP6	Bmp6	BMPR1A	Bmpr1a
BMP6	Bmp6	BMPR1B	Bmpr1b
BMP6	Bmp6	BMPR2	Bmpr2
BMP7	Bmp7	ACVR1	Acvr1
BMP7	Bmp7	ACVR2A	Acvr2a
BMP7	Bmp7	ACVR2B	Acvr2b
BMP7	Bmp7	BMPR1A	Bmpr1a
BMP7	Bmp7	BMPR1B	Bmpr1b
BMP7	Bmp7	BMPR2	Bmpr2
BMP7	Bmp7	ENG	Eng
BMP8B	Bmp8a	ACVR1	Acvr1
BMP8B	Bmp8a	ACVR2A	Acvr2a
BMP8B	Bmp8a	ACVR2B	Acvr2b
BMP8B	Bmp8a	BMPR1A	Bmpr1a
BMP8B	Bmp8a	BMPR1B	Bmpr1b
BMP8B	Bmp8a	BMPR2	Bmpr2
BST1	Bst1	CAV1	Cav1
BTC	Btc	EGFR	Egfr
BTC	Btc	ERBB2	Erbb2
BTC	Btc	ERBB3	Erbb3
BTC	Btc	ERBB4	Erbb4
BTLA	Btla	CD247	Cd247
BTLA	Btla	CD79A	Cd79a
BTLA	Btla	TNFRSF14	Tnfrsf14
BTLA	Btla	VTCN1	Vtcn1
C1QA	C1qa	CD93	Cd93
C1QA	C1qa	CR1	Cr1l
C1QA	C1qa	CSPG4	Cspg4
C1QB	C1qb	LRP1	Lrp1
C1QTNF1	C1qtnf1	AVPR2	Avpr2
C1QTNF5	C1qtnf5	MFRP	Mfrp
C1orf112	BC055324	PLSCR4	Plscr4
C1orf194	1700013F07Rik	PLSCR4	Plscr4
C1orf200	NA	LY6G6C	Ly6g6c
C1orf200	NA	SLC16A4	Slc16a4
C3	C3	C3AR1	C3ar1
C3	C3	C5AR2	C5ar2
C3	C3	CD19	Cd19
C3	C3	CD46	Cd46
C3	C3	CD81	Cd81
C3	C3	CR1	Cr1l
C3	C3	IFITM1	Ifitm7
C3	C3	ITGAM	Itgam
C3	C3	ITGAX	Itgax
C3	C3	ITGB2	Itgb2
C3	C3	LRP1	Lrp1
C4A	C4b	C3AR1	C3ar1
C4A	C4b	C5AR2	C5ar2
C4A	C4b	CR1	Cr1l
C4BPA	Zp3r	BMPR2	Bmpr2
C4BPA	Zp3r	CD40	Cd40
C4BPA	Zp3r	LRP1	Lrp1
C4B	C4b	CD46	Cd46
C4B	C4b	CR1	Cr1l
C5	Hc	C5AR1	C5ar1
C5	Hc	C5AR2	C5ar2
C5orf55	NA	TRAF2	Traf2
C6orf15	2300002M23Rik	DDR1	Ddr1
CALCA	Calca	CALCR	Calcr
CALCA	Calca	CALCRL	Calcrl
CALCA	Calca	RAMP1	Ramp1
CALCA	Calca	RAMP2	Ramp2
CALCB	Calcb	CALCR	Calcr
CALCB	Calcb	CALCRL	Calcrl
CALCB	Calcb	RAMP1	Ramp1
CALM1	NA	ABCA1	Abca1
CALM1	NA	ADCY8	Adcy8
CALM1	NA	ADCYAP1R1	Adcyap1r1
CALM1	NA	AQP6	Aqp6
CALM1	NA	CACNA1C	Cacna1c
CALM1	NA	CALCR	Calcr
CALM1	NA	CNGA2	Cnga2
CALM1	NA	CRHR1	Crhr1
CALM1	NA	EGFR	Egfr
CALM1	NA	FAS	Fas
CALM1	NA	GLP1R	Glp1r
CALM1	NA	GLP2R	Glp2r
CALM1	NA	GP6	Gp6
CALM1	NA	GRM3	Grm3
CALM1	NA	GRM4	Grm4
CALM1	NA	GRM5	Grm5
CALM1	NA	GRM7	Grm7
CALM1	NA	HMMR	Hmmr
CALM1	NA	HTR2C	Htr2c
CALM1	NA	INSR	Insr
CALM1	NA	KCNN4	Kcnn4
CALM1	NA	KCNQ1	Kcnq1
CALM1	NA	KCNQ3	Kcnq3
CALM1	NA	KCNQ5	Kcnq5
CALM1	NA	MIP	Mip
CALM1	NA	MYLK	Mylk
CALM1	NA	MYLK2	Mylk2
CALM1	NA	OPRM1	Oprm1
CALM1	NA	PDE1A	Pde1a
CALM1	NA	PDE1B	Pde1b
CALM1	NA	PDE1C	Pde1c
CALM1	NA	PPAPDC2	Ppapdc2
CALM1	NA	PTH2R	Pth2r
CALM1	NA	PTPRA	Ptpra
CALM1	NA	SCN10A	Scn10a
CALM1	NA	SCN4A	Scn4a
CALM1	NA	SCTR	Sctr
CALM1	NA	SELL	Sell
CALM1	NA	TRPC3	Trpc3
CALM1	NA	TRPC5	Trpc5
CALM1	NA	VIPR1	Vipr1
CALM2	Calm1	ABCA1	Abca1
CALM2	Calm1	ADCY8	Adcy8
CALM2	Calm1	AQP6	Aqp6
CALM2	Calm1	CACNA1C	Cacna1c
CALM2	Calm1	EGFR	Egfr
CALM2	Calm1	GP6	Gp6
CALM2	Calm1	GRM5	Grm5
CALM2	Calm1	GRM7	Grm7
CALM2	Calm1	INSR	Insr
CALM2	Calm1	KCNQ1	Kcnq1
CALM2	Calm1	KCNQ3	Kcnq3
CALM2	Calm1	KCNQ5	Kcnq5
