Ligand.ApprovedSymbol	ligand_mouse	Receptor.ApprovedSymbol	receptor_mouse
COL7A1	Col7a1	ITGA2	Itga2
COL7A1	Col7a1	ITGB1	Itgb1
COL8A1	Col8a1	ITGA1	Itga1
COL8A1	Col8a1	ITGA2	Itga2
COL9A1	Col9a1	MAG	Mag
COL9A2	Col9a2	MAG	Mag
COL9A3	Col9a3	MAG	Mag
COLQ	Colq	MUSK	Musk
CORT	Cort	GHSR	Ghsr
CORT	Cort	MRGPRX2	Mrgpra9
CORT	Cort	SSTR1	Sstr1
CORT	Cort	SSTR2	Sstr2
CORT	Cort	SSTR3	Sstr3
CORT	Cort	SSTR4	Sstr4
CORT	Cort	SSTR5	Sstr5
CPAMD8	NA	SCTR	Sctr
CP	Cp	SLC40A1	Slc40a1
CRH	Crh	CRHR1	Crhr1
CRH	Crh	CRHR2	Crhr2
CRH	Crh	MC2R	Mc2r
CRP	Crp	OLR1	Olr1
CSF1	Csf1	CSF1R	Csf1r
CSF2	Csf2	CSF1R	Csf1r
CSF2	Csf2	CSF2RA	Csf2ra
CSF2	Csf2	CSF2RB	Csf2rb2
CSF2	Csf2	CSF3R	Csf3r
CSF2	Csf2	IL3RA	Il3ra
CSF2	Csf2	ITGA9	Itga9
CSF2	Csf2	ITGB1	Itgb1
CSF2	Csf2	SDC2	Sdc2
CSF3	Csf3	CSF1R	Csf1r
CSF3	Csf3	CSF3R	Csf3r
CSH1	Gh	PRLR	Prlr
CSH2	Gh	PRLR	Prlr
CSHL1	Gh	GHR	Ghr
CSHL1	Gh	PRLR	Prlr
CTF1	Ctf1	IL6ST	Il6st
CTF1	Ctf1	LIFR	Lifr
CTGF	Ctgf	ERBB4	Erbb4
CTGF	Ctgf	ITGA5	Itga5
CTGF	Ctgf	ITGAM	Itgam
CTGF	Ctgf	ITGB2	Itgb2
CTGF	Ctgf	LRP1	Lrp1
CTGF	Ctgf	LRP6	Lrp6
CTGF	Ctgf	NTRK1	Ntrk1
CTHRC1	Cthrc1	FZD3	Fzd3
CTHRC1	Cthrc1	FZD5	Fzd5
CTHRC1	Cthrc1	FZD6	Fzd6
CUBN	Cubn	LRP2	Lrp2
CX3CL1	Cx3cl1	CX3CR1	Cx3cr1
CXCL10	Cxcl10	CCR3	Ccr3
CXCL10	Cxcl10	CXCR3	Cxcr3
CXCL10	Cxcl10	SDC4	Sdc4
CXCL11	Cxcl11	ACKR3	Ackr3
CXCL11	Cxcl11	CCR3	Ccr3
CXCL11	Cxcl11	CXCR3	Cxcr3
CXCL12	Cxcl12	ACKR3	Ackr3
CXCL12	Cxcl12	CCR4	Ccr4
CXCL12	Cxcl12	CD4	Cd4
CXCL12	Cxcl12	CXCR3	Cxcr3
CXCL12	Cxcl12	CXCR4	Cxcr4
CXCL12	Cxcl12	ITGB1	Itgb1
CXCL12	Cxcl12	SDC4	Sdc4
CXCL13	Cxcl13	ACKR4	Ackr4
CXCL13	Cxcl13	CCR10	Ccr10
CXCL13	Cxcl13	CXCR3	Cxcr3
CXCL13	Cxcl13	CXCR5	Cxcr5
CXCL13	Cxcl13	HTR2A	Htr2a
CXCL13	Cxcl13	OPRD1	Oprd1
CXCL16	Cxcl16	CXCR6	Cxcr6
CXCL1	Cxcl3	CXCR1	Cxcr2
CXCL1	Cxcl3	CXCR2	Cxcr1
CXCL1	Cxcl3	DARC	NA
CXCL2	Cxcl2	CXCR1	Cxcr2
CXCL2	Cxcl2	CXCR2	Cxcr1
CXCL2	Cxcl2	XCR1	Xcr1
CXCL3	Cxcl2	CXCR1	Cxcr2
CXCL3	Cxcl2	CXCR2	Cxcr1
CXCL5	Cxcl5	CXCR1	Cxcr2
CXCL5	Cxcl5	CXCR2	Cxcr1
CXCL5	Cxcl5	DARC	NA
CXCL6	Cxcl5	CXCR1	Cxcr2
CXCL6	Cxcl5	CXCR2	Cxcr1
CXCL9	Cxcl9	CCR3	Ccr3
CXCL9	Cxcl9	CXCR3	Cxcr3
CYR61	Cyr61	CAV1	Cav1
CYR61	Cyr61	ITGA5	Itga5
CYR61	Cyr61	ITGAM	Itgam
CYR61	Cyr61	ITGAV	Itgav
CYR61	Cyr61	ITGB2	Itgb2
CYR61	Cyr61	ITGB3	Itgb3
CYR61	Cyr61	ITGB5	Itgb5
DCN	Dcn	EGFR	Egfr
DCN	Dcn	ERBB4	Erbb4
DCN	Dcn	MET	Met
DEFB103A	Defb14	CCR6	Ccr6
DEFB103B	Defb14	CCR2	Ccr5
DEFB103B	Defb14	CCR6	Ccr6
DEFB1	Defb1	CCR6	Ccr6
DEFB4A	NA	CCR6	Ccr6
DEFB4A	NA	TLR4	Tlr4
DEFB4B	NA	CCR6	Ccr6
DHH	Dhh	BOC	Boc
DHH	Dhh	CDON	Cdon
DHH	Dhh	HHIP	Hhip
DHH	Dhh	PTCH1	Ptch1
DHH	Dhh	PTCH2	Ptch2
DKK1	Dkk1	KREMEN1	Kremen1
DKK1	Dkk1	KREMEN2	Kremen2
DKK1	Dkk1	LRP5	Lrp5
DKK1	Dkk1	LRP6	Lrp6
DKK2	Dkk2	KREMEN2	Kremen2
DKK2	Dkk2	LRP6	Lrp6
DLK1	Dlk1	NOTCH1	Notch1
DLK1	Dlk1	NOTCH2	Notch2
DLK1	Dlk1	NOTCH3	Notch3
DLK1	Dlk1	NOTCH4	Notch4
DLK2	Dlk2	NOTCH1	Notch1
DLL1	Dll1	NOTCH1	Notch1
DLL1	Dll1	NOTCH2	Notch2
DLL1	Dll1	NOTCH3	Notch3
DLL1	Dll1	NOTCH4	Notch4
DLL3	Dll3	NOTCH1	Notch1
DLL3	Dll3	NOTCH2	Notch2
DLL3	Dll3	NOTCH3	Notch3
DLL3	Dll3	NOTCH4	Notch4
DLL4	Dll4	NOTCH1	Notch1
DLL4	Dll4	NOTCH2	Notch2
DLL4	Dll4	NOTCH3	Notch3
DLL4	Dll4	NOTCH4	Notch4
DSCAM	Dscam	DCC	Dcc
DUSP18	Dusp18	CD151	Cd151
DUSP18	Dusp18	ITGA1	Itga1
DUSP18	Dusp18	ITGA2	Itga2
DUSP18	Dusp18	ITGA3	Itga3
DUSP18	Dusp18	ITGA6	Itga6
DUSP18	Dusp18	ITGA7	Itga7
DUSP18	Dusp18	ITGB1	Itgb1
DUSP18	Dusp18	ITGB4	Itgb4
DUSP18	Dusp18	RPSA	Rpsa
EBI3	Ebi3	IL27RA	Il27ra
EBI3	Ebi3	IL6ST	Il6st
ECM1	Ecm1	CACHD1	Cachd1
EDA	Eda	EDA2R	Eda2r
EDA	Eda	EDAR	Edar
EDIL3	Edil3	ITGAV	Itgav
EDIL3	Edil3	ITGB5	Itgb5
EDN1	Edn1	EDNRA	Ednra
EDN1	Edn1	EDNRB	Ednrb
EDN1	Edn1	ELTD1	NA
EDN1	Edn1	KEL	Kel
EDN2	Edn2	EDNRA	Ednra
EDN2	Edn2	EDNRB	Ednrb
EDN2	Edn2	KEL	Kel
EDN3	Edn3	EDNRA	Ednra
EDN3	Edn3	EDNRB	Ednrb
EDN3	Edn3	KEL	Kel
EFEMP1	Efemp1	EGFR	Egfr
EFEMP2	Efemp2	AQP1	Aqp1
EFEMP2	Efemp2	CATSPER1	Catsper1
EFEMP2	Efemp2	LINGO1	Lingo1
EFEMP2	Efemp2	PLSCR4	Plscr4
EFNA1	Efna1	EPHA1	Epha1
EFNA1	Efna1	EPHA2	Epha2
EFNA1	Efna1	EPHA3	Epha3
EFNA1	Efna1	EPHA4	Epha4
EFNA1	Efna1	EPHA5	Epha5
EFNA1	Efna1	EPHA6	Epha6
EFNA1	Efna1	EPHA7	Epha7
EFNA1	Efna1	EPHA8	Epha8
EFNA1	Efna1	EPHB1	Ephb1
EFNA1	Efna1	EPHB6	Ephb6
EFNA2	Efna2	EPHA1	Epha1
EFNA2	Efna2	EPHA2	Epha2
EFNA2	Efna2	EPHA3	Epha3
EFNA2	Efna2	EPHA4	Epha4
EFNA2	Efna2	EPHA5	Epha5
EFNA2	Efna2	EPHA6	Epha6
EFNA2	Efna2	EPHA7	Epha7
EFNA2	Efna2	EPHA8	Epha8
EFNA3	Efna3	EPHA1	Epha1
EFNA3	Efna3	EPHA2	Epha2
EFNA3	Efna3	EPHA3	Epha3
EFNA3	Efna3	EPHA4	Epha4
EFNA3	Efna3	EPHA5	Epha5
EFNA3	Efna3	EPHA6	Epha6
EFNA3	Efna3	EPHA7	Epha7
EFNA3	Efna3	EPHA8	Epha8
EFNA3	Efna3	EPHB1	Ephb1
EFNA3	Efna3	EPHB6	Ephb6
EFNA4	Efna4	EPHA1	Epha1
EFNA4	Efna4	EPHA2	Epha2
EFNA4	Efna4	EPHA3	Epha3
EFNA4	Efna4	EPHA4	Epha4
EFNA4	Efna4	EPHA5	Epha5
EFNA4	Efna4	EPHA6	Epha6
EFNA4	Efna4	EPHA7	Epha7
EFNA4	Efna4	EPHA8	Epha8
EFNA5	Efna5	EPHA1	Epha1
EFNA5	Efna5	EPHA2	Epha2
EFNA5	Efna5	EPHA3	Epha3
EFNA5	Efna5	EPHA4	Epha4
EFNA5	Efna5	EPHA5	Epha5
EFNA5	Efna5	EPHA6	Epha6
EFNA5	Efna5	EPHA7	Epha7
EFNA5	Efna5	EPHA8	Epha8
EFNA5	Efna5	EPHB1	Ephb1
EFNA5	Efna5	EPHB2	Ephb2
EFNA5	Efna5	EPHB6	Ephb6
EFNB1	Efnb1	EPHA4	Epha4
EFNB1	Efnb1	EPHA6	Epha6
EFNB1	Efnb1	EPHB1	Ephb1
EFNB1	Efnb1	EPHB2	Ephb2
EFNB1	Efnb1	EPHB3	Ephb3
EFNB1	Efnb1	EPHB4	Ephb4
EFNB1	Efnb1	EPHB6	Ephb6
EFNB1	Efnb1	ERBB2	Erbb2
EFNB2	Efnb2	EPHA3	Epha3
EFNB2	Efnb2	EPHA4	Epha4
EFNB2	Efnb2	EPHA6	Epha6
EFNB2	Efnb2	EPHB1	Ephb1
EFNB2	Efnb2	EPHB2	Ephb2
EFNB2	Efnb2	EPHB3	Ephb3
EFNB2	Efnb2	EPHB4	Ephb4
EFNB2	Efnb2	EPHB6	Ephb6
EFNB2	Efnb2	GRM1	Grm1
EFNB2	Efnb2	GRM5	Grm5
EFNB2	Efnb2	PECAM1	Pecam1
EFNB2	Efnb2	RHBDL2	Rhbdl2
EFNB3	Efnb3	EPHA4	Epha4
EFNB3	Efnb3	EPHB1	Ephb1
EFNB3	Efnb3	EPHB2	Ephb2
EFNB3	Efnb3	EPHB3	Ephb3
EFNB3	Efnb3	EPHB4	Ephb4
EFNB3	Efnb3	EPHB6	Ephb6
EFNB3	Efnb3	RHBDL2	Rhbdl2
EGFL8	Egfl8	NCR3	NA
EGF	Egf	CAV1	Cav1
EGF	Egf	EGFR	Egfr
EGF	Egf	ERBB2	Erbb2
EGF	Egf	ERBB3	Erbb3
EGF	Egf	ERBB4	Erbb4
EGF	Egf	FSHR	Fshr
EPGN	Epgn	EGFR	Egfr
EPO	Epo	EPOR	Epor
EREG	Ereg	EGFR	Egfr
EREG	Ereg	ERBB2	Erbb2
EREG	Ereg	ERBB3	Erbb3
EREG	Ereg	ERBB4	Erbb4
F10	F10	F3	F3
F10	F10	ITGAM	Itgam
F10	F10	ITGB2	Itgb2
F11	F11	GP1BA	Gp1ba
F12	F12	CD93	Cd93
F12	F12	GP1BA	Gp1ba
F13A1	F13a1	ITGA4	Itga4
F13A1	F13a1	ITGA9	Itga9
F13A1	F13a1	ITGB1	Itgb1
F2	F2	F2R	F2r
F2	F2	F2RL1	F2rl1
F2	F2	F2RL2	F2rl2
F2	F2	F2RL3	F2rl3
F2	F2	GP1BA	Gp1ba
F2	F2	GP1BB	Gp1bb
F2	F2	GP9	Gp9
F2	F2	ITGA2B	Itga2b
F2	F2	THBD	Thbd
F7	F7	F3	F3
F8	F8	ASGR2	Asgr2
F8	F8	LDLR	Ldlr
F8	F8	LRP1	Lrp1
F9	F9	LRP1	Lrp1
FARP2	Farp2	PLXNA1	Plxna1
FARP2	Farp2	PLXNA2	Plxna2
FARP2	Farp2	PLXNA3	Plxna3
FARP2	Farp2	PLXNA4	Plxna4
FASLG	Fasl	FAS	Fas
FASLG	Fasl	TNFRSF1A	Tnfrsf1a
FASLG	Fasl	TNFRSF6B	NA
FAT4	Fat4	DCHS1	Dchs1
FBLN1	Fbln1	ITGB1	Itgb1
FBLN2	Fbln2	ITGB3	Itgb3
FBN1	Fbn1	ITGA5	Itga5
FBN1	Fbn1	ITGAV	Itgav
FBN1	Fbn1	ITGB1	Itgb1
FBN1	Fbn1	ITGB3	Itgb3
FBN1	Fbn1	ITGB6	Itgb6
FCN2	Fcnb	LRP1	Lrp1
FGA	Fga	CDH5	Cdh5
FGA	Fga	ITGA2B	Itga2b
FGA	Fga	ITGA5	Itga5
FGA	Fga	ITGAD	Itgad
FGA	Fga	ITGAM	Itgam
FGA	Fga	ITGAV	Itgav
FGA	Fga	ITGAX	Itgax
FGA	Fga	ITGB1	Itgb1
FGA	Fga	ITGB2	Itgb2
FGA	Fga	ITGB3	Itgb3
FGA	Fga	PLAUR	Plaur
FGB	Fgb	ITGA2B	Itga2b
FGB	Fgb	ITGA5	Itga5
FGB	Fgb	ITGAM	Itgam
FGB	Fgb	ITGAV	Itgav
FGB	Fgb	ITGB1	Itgb1
FGB	Fgb	ITGB2	Itgb2
FGF10	Fgf10	FGFR1	Fgfr1
FGF10	Fgf10	FGFR2	Fgfr2
FGF10	Fgf10	FGFR3	Fgfr3
FGF10	Fgf10	FGFR4	Fgfr4
FGF11	Fgf11	FGFR1	Fgfr1
FGF11	Fgf11	FGFR2	Fgfr2
FGF11	Fgf11	FGFR3	Fgfr3
FGF11	Fgf11	FGFR4	Fgfr4
FGF12	Fgf12	FGFR1	Fgfr1
FGF12	Fgf12	FGFR2	Fgfr2
FGF12	Fgf12	FGFR3	Fgfr3
FGF12	Fgf12	FGFR4	Fgfr4
FGF13	Fgf13	EGFR	Egfr
FGF13	Fgf13	FGFR1	Fgfr1
FGF13	Fgf13	FGFR2	Fgfr2
FGF13	Fgf13	FGFR3	Fgfr3
FGF13	Fgf13	FGFR4	Fgfr4
FGF13	Fgf13	SCN5A	Scn5a
FGF13	Fgf13	SCN8A	Scn8a
FGF14	Fgf14	FGFR1	Fgfr1
FGF14	Fgf14	FGFR2	Fgfr2
FGF14	Fgf14	FGFR3	Fgfr3
FGF14	Fgf14	FGFR4	Fgfr4
FGF16	Fgf16	FGFR1	Fgfr1
FGF16	Fgf16	FGFR2	Fgfr2
FGF16	Fgf16	FGFR3	Fgfr3
FGF16	Fgf16	FGFR4	Fgfr4
FGF17	Fgf17	FGFR1	Fgfr1
FGF17	Fgf17	FGFR2	Fgfr2
FGF17	Fgf17	FGFR3	Fgfr3
FGF17	Fgf17	FGFR4	Fgfr4
FGF18	Fgf18	FGFR1	Fgfr1
FGF18	Fgf18	FGFR2	Fgfr2
FGF18	Fgf18	FGFR3	Fgfr3
FGF18	Fgf18	FGFR4	Fgfr4
FGF19	Fgf15	FGFR1	Fgfr1
FGF19	Fgf15	FGFR2	Fgfr2
FGF19	Fgf15	FGFR3	Fgfr3
FGF19	Fgf15	FGFR4	Fgfr4
FGF19	Fgf15	KLB	Klb
FGF1	Fgf1	CD44	Cd44
FGF1	Fgf1	EGFR	Egfr
FGF1	Fgf1	FGFR1	Fgfr1
FGF1	Fgf1	FGFR2	Fgfr2
FGF1	Fgf1	FGFR3	Fgfr3
FGF1	Fgf1	FGFR4	Fgfr4
FGF1	Fgf1	FGFRL1	Fgfrl1
FGF1	Fgf1	NRP1	Nrp1
FGF20	Fgf20	FGFR4	Fgfr4
FGF21	Fgf21	FGFR2	Fgfr2
FGF21	Fgf21	FGFR4	Fgfr4
FGF22	Fgf22	FGFR2	Fgfr2
FGF23	Fgf23	FGFR1	Fgfr1
FGF23	Fgf23	FGFR2	Fgfr2
FGF23	Fgf23	FGFR3	Fgfr3
FGF23	Fgf23	FGFR4	Fgfr4
FGF23	Fgf23	PHEX	Phex
FGF2	Fgf2	CD44	Cd44
FGF2	Fgf2	FGFR1	Fgfr1
FGF2	Fgf2	FGFR2	Fgfr2
FGF2	Fgf2	FGFR3	Fgfr3
FGF2	Fgf2	FGFR4	Fgfr4
FGF2	Fgf2	FGFRL1	Fgfrl1
FGF2	Fgf2	GPC4	Gpc4
FGF2	Fgf2	NRP1	Nrp1
FGF2	Fgf2	SDC1	Sdc1
FGF2	Fgf2	SDC2	Sdc2
FGF2	Fgf2	SDC3	Sdc3
FGF2	Fgf2	SDC4	Sdc4
FGF3	Fgf3	FGFR1	Fgfr1
FGF3	Fgf3	FGFR2	Fgfr2
FGF3	Fgf3	FGFR3	Fgfr3
FGF3	Fgf3	FGFR4	Fgfr4
FGF4	Fgf4	FGFR1	Fgfr1
FGF4	Fgf4	FGFR2	Fgfr2
FGF4	Fgf4	FGFR3	Fgfr3
FGF4	Fgf4	FGFR4	Fgfr4
FGF4	Fgf4	NRP1	Nrp1
FGF5	Fgf5	FGFR1	Fgfr1
FGF5	Fgf5	FGFR2	Fgfr2
FGF5	Fgf5	FGFR3	Fgfr3
FGF5	Fgf5	FGFR4	Fgfr4
FGF6	Fgf6	FGFR1	Fgfr1
FGF6	Fgf6	FGFR2	Fgfr2
FGF6	Fgf6	FGFR3	Fgfr3
FGF6	Fgf6	FGFR4	Fgfr4
FGF6	Fgf6	SDC4	Sdc4
FGF7	Fgf7	FGFR1	Fgfr1
FGF7	Fgf7	FGFR2	Fgfr2
FGF7	Fgf7	FGFR3	Fgfr3
FGF7	Fgf7	FGFR4	Fgfr4
FGF7	Fgf7	NRP1	Nrp1
FGF8	Fgf8	FGFR1	Fgfr1
FGF8	Fgf8	FGFR2	Fgfr2
FGF8	Fgf8	FGFR3	Fgfr3
FGF8	Fgf8	FGFR4	Fgfr4
FGF9	Fgf9	FGFR1	Fgfr1
FGF9	Fgf9	FGFR2	Fgfr2
FGF9	Fgf9	FGFR3	Fgfr3
FGF9	Fgf9	FGFR4	Fgfr4
FGG	Fgg	ITGA2B	Itga2b
FGG	Fgg	ITGA5	Itga5
FGG	Fgg	ITGAV	Itgav
FGG	Fgg	ITGB1	Itgb1
FGG	Fgg	ITGB2	Itgb2
FGL1	Fgl1	EGFR	Egfr
FIGF	Figf	FLT1	Flt1
FIGF	Figf	FLT4	Flt4
FIGF	Figf	ITGA1	Itga1
FIGF	Figf	ITGA2	Itga2
FIGF	Figf	ITGA4	Itga4
FIGF	Figf	ITGA5	Itga5
FIGF	Figf	ITGA9	Itga9
FIGF	Figf	ITGB1	Itgb1
FIGF	Figf	KDR	Kdr
FIGF	Figf	NRP2	Nrp2
FLT3LG	Flt3l	FLT3	Flt3
FN1	Fn1	C5AR1	C5ar1
FN1	Fn1	CD44	Cd44
FN1	Fn1	CD79A	Cd79a
FN1	Fn1	COL13A1	Col13a1
FN1	Fn1	FLT4	Flt4
FN1	Fn1	IL17RC	Il17rc
FN1	Fn1	ITGA2	Itga2
FN1	Fn1	ITGA2B	Itga2b
FN1	Fn1	ITGA3	Itga3
FN1	Fn1	ITGA4	Itga4
FN1	Fn1	ITGA5	Itga5
FN1	Fn1	ITGA6	Itga6
FN1	Fn1	ITGA8	Itga8
FN1	Fn1	ITGA9	Itga9
FN1	Fn1	ITGAV	Itgav
FN1	Fn1	ITGB1	Itgb1
FN1	Fn1	ITGB3	Itgb3
FN1	Fn1	ITGB6	Itgb6
FN1	Fn1	ITGB7	Itgb7
FN1	Fn1	ITGB8	Itgb8
FN1	Fn1	MAG	Mag
FN1	Fn1	NT5E	Nt5e
FN1	Fn1	PLAUR	Plaur
FN1	Fn1	ROBO4	Robo4
FN1	Fn1	SDC2	Sdc2
FN1	Fn1	TMPRSS6	Tmprss6
FN1	Fn1	TNFRSF11B	Tnfrsf11b
FN1	Fn1	TSHR	Tshr
FSHB	Fshb	FSHR	Fshr
FST	Fst	BMPR1B	Bmpr1b
FST	Fst	BMPR2	Bmpr2
FST	Fst	HFE2	Hfe2
GAD1	Gad1-ps	GRM4	Grm4
GALP	Galp	GALR1	Galr1
GALP	Galp	GALR2	Galr2
GALP	Galp	GALR3	NA
GAL	Gal	GALR1	Galr1
GAL	Gal	GALR2	Galr2
GAL	Gal	GALR3	NA
GAL	Gal	GPR151	Gpr151
GAS6	Gas6	AXL	Axl
GAS6	Gas6	MERTK	Mertk
GAS6	Gas6	TYRO3	Tyro3
GAST	Gast	CCKBR	Cckbr
GCG	Gcg	GCGR	Gcgr
GCG	Gcg	GLP1R	Glp1r
GCG	Gcg	GLP2R	Glp2r
GDF10	Gdf10	ACVR1B	Acvr1b
GDF11	Gdf11	ACVR1B	Acvr1b
GDF11	Gdf11	ACVR2A	Acvr2a
GDF11	Gdf11	ACVR2B	Acvr2b
GDF2	Gdf2	ACVR1	Acvr1
GDF2	Gdf2	ACVR2A	Acvr2a
GDF2	Gdf2	ACVR2B	Acvr2b
GDF2	Gdf2	ACVRL1	Acvrl1
GDF2	Gdf2	BMPR2	Bmpr2
GDF2	Gdf2	ENG	Eng
GDF5	Gdf5	ACVR1	Acvr1
GDF5	Gdf5	ACVR2A	Acvr2a
GDF5	Gdf5	ACVR2B	Acvr2b
GDF5	Gdf5	BMPR1A	Bmpr1a
GDF5	Gdf5	BMPR1B	Bmpr1b
GDF5	Gdf5	BMPR2	Bmpr2
GDF5	Gdf5	ROR2	Ror2
GDF6	Gdf6	BMPR1A	Bmpr1a
GDF6	Gdf6	BMPR1B	Bmpr1b
GDF6	Gdf6	BMPR2	Bmpr2
GDF7	Gdf7	ACVR2A	Acvr2a
GDF7	Gdf7	BMPR1A	Bmpr1a
GDF7	Gdf7	BMPR2	Bmpr2
GDF9	Gdf9	ACVR2A	Acvr2a
GDF9	Gdf9	BMPR1A	Bmpr1a
GDF9	Gdf9	BMPR1B	Bmpr1b
GDF9	Gdf9	BMPR2	Bmpr2
GDF9	Gdf9	FXYD6	Fxyd6
GDF9	Gdf9	ORAI2	Orai2
GDF9	Gdf9	TGFBR1	Tgfbr1
GDNF	Gdnf	EDNRB	Ednrb
GDNF	Gdnf	GFRA1	Gfra1
GDNF	Gdnf	GFRA2	Gfra2
GDNF	Gdnf	RET	Ret
GDNF	Gdnf	SLC44A5	Slc44a5
GH1	Gh	GHR	Ghr
GH1	Gh	PRLR	Prlr
GH2	Gh	GHR	Ghr
GHRH	Ghrh	GHRHR	Ghrhr
GHRH	Ghrh	VIPR1	Vipr1
GHRL	Ghrl	GHRHR	Ghrhr
GHRL	Ghrl	GHSR	Ghsr
GHRL	Ghrl	GPR39	Gpr39
GHRL	Ghrl	MLNR	NA
GIP	Gip	DPP4	Dpp4
GIP	Gip	GIPR	Gipr
GIP	Gip	INSR	Insr
GNAI2	Gnai2	ADCY1	Adcy1
GNAI2	Gnai2	ADCY7	Adcy7
GNAI2	Gnai2	ADCY8	Adcy8
GNAI2	Gnai2	ADCY9	Adcy9
GNAI2	Gnai2	ADORA1	Adora1
GNAI2	Gnai2	ADRA2A	Adra2a
GNAI2	Gnai2	ADRA2B	Adra2b
GNAI2	Gnai2	AGTR2	Agtr2
GNAI2	Gnai2	C5AR1	C5ar1
GNAI2	Gnai2	CAV1	Cav1
GNAI2	Gnai2	CCR5	NA
GNAI2	Gnai2	CHRM1	Chrm1
GNAI2	Gnai2	CNR1	Cnr1
GNAI2	Gnai2	CXCR1	Cxcr2
GNAI2	Gnai2	CXCR2	Cxcr1
GNAI2	Gnai2	CXCR3	Cxcr3
GNAI2	Gnai2	DRD2	Drd2
GNAI2	Gnai2	EDNRA	Ednra
GNAI2	Gnai2	EDNRB	Ednrb
GNAI2	Gnai2	EGFR	Egfr
GNAI2	Gnai2	F2R	F2r
GNAI2	Gnai2	FPR1	Fpr1
GNAI2	Gnai2	IGF1R	Igf1r
GNAI2	Gnai2	LHCGR	Lhcgr
GNAI2	Gnai2	LPAR3	Lpar3
GNAI2	Gnai2	MTNR1A	Mtnr1a
GNAI2	Gnai2	MTNR1B	Mtnr1b
GNAI2	Gnai2	OPRD1	Oprd1
GNAI2	Gnai2	OPRM1	Oprm1
GNAI2	Gnai2	P2RY12	P2ry12
GNAI2	Gnai2	PTPRU	Ptpru
GNAI2	Gnai2	S1PR1	S1pr1
GNAI2	Gnai2	S1PR3	S1pr3
GNAI2	Gnai2	S1PR4	S1pr4
GNAI2	Gnai2	S1PR5	S1pr5
GNAI2	Gnai2	TBXA2R	Tbxa2r
GNAI2	Gnai2	TSHR	Tshr
GNAI2	Gnai2	UNC5B	Unc5b
GNAS	Gnas	ADCY1	Adcy1
GNAS	Gnas	ADCY7	Adcy7
GNAS	Gnas	ADCY8	Adcy8
GNAS	Gnas	ADCY9	Adcy9
GNAS	Gnas	ADORA1	Adora1
GNAS	Gnas	ADRB3	Adrb3
GNAS	Gnas	AVPR2	Avpr2
GNAS	Gnas	CRHR1	Crhr1
GNAS	Gnas	GCGR	Gcgr
GNAS	Gnas	GLP1R	Glp1r
GNAS	Gnas	HTR6	Htr6
GNAS	Gnas	LHCGR	Lhcgr
GNAS	Gnas	PTGDR	Ptgdr
GNAS	Gnas	PTGIR	Ptgir
GNAS	Gnas	TSHR	Tshr
GNAS	Gnas	VIPR1	Vipr1
GNB3	Gnb3	GABBR2	Gabbr2
GNB3	Gnb3	TGFBR1	Tgfbr1
GNRH1	Gnrh1	GNRHR	Gnrhr
GNRH2	NA	GNRHR	Gnrhr
GPC3	Gpc3	CD81	Cd81
GPC3	Gpc3	IGF1R	Igf1r
GPHA2	Gpha2	TSHR	Tshr
GPI	Gm1840	AMFR	Amfr
GREM1	Grem1	KDR	Kdr
GRP	Grp	BRS3	Brs3
GRP	Grp	GRPR	Grpr
GRP	Grp	NMBR	Nmbr
GSTP1	BC021614	TRAF2	Traf2
GUCA2A	Guca2a	GUCY2C	Gucy2c
GUCA2B	Guca2b	GUCY2C	Gucy2c
GUCA2B	Guca2b	GUCY2D	Gucy2e
GZMB	Gzmg	CHRM3	Chrm3
GZMB	Gzmg	IGF2R	Igf2r
GZMB	Gzmg	PGRMC1	Pgrmc1
HAS2	Has2	CD44	Cd44
HAS2	Has2	HMMR	Hmmr
HBEGF	Hbegf	CD44	Cd44
HBEGF	Hbegf	CD82	Cd82
HBEGF	Hbegf	CD9	Cd9
HBEGF	Hbegf	EGFR	Egfr
HBEGF	Hbegf	ERBB2	Erbb2
HBEGF	Hbegf	ERBB4	Erbb4
HBEGF	Hbegf	PRLR	Prlr
HCRT	Hcrt	HCRTR1	Hcrtr1
HCRT	Hcrt	HCRTR2	Hcrtr2
HCRT	Hcrt	NPFFR2	Npffr2
HDC	Hdc	HRH1	Hrh1
HDC	Hdc	HRH2	Hrh2
HDC	Hdc	HRH3	Hrh3
HDC	Hdc	HRH4	Hrh4
HEBP1	Hebp1	FPR3	Fpr-rs3
HGF	Hgf	CD44	Cd44
HGF	Hgf	MET	Met
HGF	Hgf	SDC1	Sdc1
HGF	Hgf	SDC2	Sdc2
HGF	Hgf	ST14	St14
HHIPL2	Hhipl2	CACHD1	Cachd1
HHLA3	NA	CHRM3	Chrm3
HLA-A	H2-T24	APLP2	Aplp2
HLA-A	H2-T24	CD3D	Cd3d
HLA-A	H2-T24	CD3G	Cd3g
HLA-A	H2-T24	ERBB2	Erbb2
HLA-A	H2-T24	KIR2DL1	Kir3dl2
HLA-A	H2-T24	KIR2DL3	Kir3dl1
HLA-A	H2-T24	KIR3DL1	Kir3dl1
HLA-A	H2-T24	KIR3DL2	Kir3dl1
HLA-A	H2-T24	LILRB1	NA
HLA-A	H2-T24	LILRB2	NA
HLA-B	H2-T24	CANX	Canx
HLA-B	H2-T24	CD3D	Cd3d
HLA-B	H2-T24	CD3G	Cd3g
HLA-B	H2-T24	KIR2DL3	Kir3dl1
