myAUC	avg_diff	power	pct.1	pct.2	gene	cluster
Lypd1	0.417	-0.599701335557265	0.166	0.079	0.243	Lypd1	cTEC
Oma1	0.417	-0.613300273472929	0.166	0.194	0.348	Oma1	cTEC
Ccdc6	0.416	-0.533696339966357	0.168	0.196	0.351	Ccdc6	cTEC
Cotl1	0.416	-0.612290014006616	0.168	0.141	0.299	Cotl1	cTEC
Frmd4a	0.416	-0.511799985293836	0.168	0.298	0.447	Frmd4a	cTEC
Enho	0.414	-0.722095490548598	0.172	0.034	0.206	Enho	cTEC
Calcoco1	0.413	-0.662486902823286	0.174	0.191	0.35	Calcoco1	cTEC
Abat	0.411	-0.694443579618059	0.178	0.071	0.244	Abat	cTEC
Dnajc13	0.411	-0.508934234736341	0.178	0.264	0.423	Dnajc13	cTEC
Exoc7	0.41	-0.598493284255244	0.18	0.322	0.466	Exoc7	cTEC
Spock2	0.41	-0.568867547990833	0.18	0.157	0.332	Spock2	cTEC
Hic1	0.409	-0.573658222872983	0.182	0.162	0.333	Hic1	cTEC
Rbpms	0.409	-0.52691112389283	0.182	0.267	0.43	Rbpms	cTEC
Riiad1	0.408	-0.826427498875081	0.184	0.039	0.22	Riiad1	cTEC
Myh10	0.406	-0.53380882031633	0.188	0.298	0.459	Myh10	cTEC
Nin	0.406	-0.624802006285524	0.188	0.209	0.385	Nin	cTEC
Spats2l	0.405	-0.554124161830046	0.19	0.173	0.356	Spats2l	cTEC
Ugdh	0.404	-0.604695009799794	0.192	0.366	0.51	Ugdh	cTEC
Auts2	0.403	-0.606780721585701	0.194	0.262	0.433	Auts2	cTEC
Igfbp3	0.403	-1.28067259408399	0.194	0.052	0.243	Igfbp3	cTEC
Nes	0.403	-0.586698423709907	0.194	0.291	0.457	Nes	cTEC
Fabp5	0.401	-0.57751654118395	0.198	0.529	0.652	Fabp5	cTEC
Nfkb1	0.401	-0.700057057238849	0.198	0.251	0.419	Nfkb1	cTEC
Sptssb	0.401	-0.707837765153226	0.198	0.17	0.354	Sptssb	cTEC
Rcbtb2	0.4	-0.547411829429956	0.2	0.27	0.447	Rcbtb2	cTEC
Fam49b	0.399	-0.534753615461322	0.202	0.351	0.517	Fam49b	cTEC
Pgam2	0.399	-1.00469253097542	0.202	0.105	0.296	Pgam2	cTEC
Serpinf1	0.399	-0.670849846971482	0.202	0.102	0.301	Serpinf1	cTEC
Dll4	0.398	-0.824827700585366	0.204	0.086	0.284	Dll4	cTEC
Mast4	0.398	-0.720518397239381	0.204	0.233	0.41	Mast4	cTEC
Ccdc102a	0.397	-0.696638209379998	0.206	0.139	0.333	Ccdc102a	cTEC
Got1	0.397	-0.700689440600291	0.206	0.123	0.318	Got1	cTEC
Pitrm1	0.397	-0.552246215944584	0.206	0.306	0.483	Pitrm1	cTEC
Cdh8	0.396	-0.975994215313625	0.208	0.107	0.304	Cdh8	cTEC
Dusp14	0.396	-0.592793074805383	0.208	0.165	0.367	Dusp14	cTEC
Snap47	0.396	-0.638293142000577	0.208	0.228	0.414	Snap47	cTEC
Cdh4	0.395	-0.944742726991912	0.21	0.105	0.305	Cdh4	cTEC
Dact2	0.395	-0.714506892162316	0.21	0.175	0.372	Dact2	cTEC
Racgap1	0.394	-0.591984300578467	0.212	0.325	0.506	Racgap1	cTEC
Crip3	0.393	-0.629922202439766	0.214	0.285	0.486	Crip3	cTEC
Taok3	0.393	-0.840228457463897	0.214	0.105	0.312	Taok3	cTEC
Adgrg2	0.391	-0.742333298108195	0.218	0.217	0.412	Adgrg2	cTEC
Fbxw7	0.391	-0.865600372585901	0.218	0.186	0.377	Fbxw7	cTEC
Mgp	0.391	-0.515928491742602	0.218	0.264	0.472	Mgp	cTEC
Nav1	0.391	-0.706855876788028	0.218	0.212	0.419	Nav1	cTEC
Unc119	0.389	-0.702645378098039	0.222	0.152	0.362	Unc119	cTEC
Arl3	0.388	-0.52327690423704	0.224	0.466	0.628	Arl3	cTEC
Camk4	0.388	-0.759166395632603	0.224	0.17	0.379	Camk4	cTEC
Ralgps2	0.388	-0.591586862203309	0.224	0.335	0.515	Ralgps2	cTEC
Tenm3	0.387	-0.802111761262229	0.226	0.123	0.338	Tenm3	cTEC
Ank3	0.386	-0.713112451059935	0.228	0.296	0.485	Ank3	cTEC
Diras2	0.386	-0.822143015640526	0.228	0.113	0.332	Diras2	cTEC
Akr7a5	0.385	-0.592875794224622	0.23	0.429	0.599	Akr7a5	cTEC
Cox20	0.383	-0.512769876355296	0.234	0.56	0.697	Cox20	cTEC
Tcf4	0.383	-0.618534185829048	0.234	0.372	0.551	Tcf4	cTEC
Zfyve21	0.383	-0.514610226955674	0.234	0.366	0.557	Zfyve21	cTEC
Gas2	0.382	-0.742445636320271	0.236	0.168	0.388	Gas2	cTEC
Six2	0.381	-0.926262407718399	0.238	0.081	0.309	Six2	cTEC
Cdkn1c	0.377	-1.05233682227482	0.246	0.131	0.367	Cdkn1c	cTEC
Dctn1	0.376	-0.678319393407877	0.248	0.296	0.503	Dctn1	cTEC
Gm14207	0.373	-0.965134632658947	0.254	0.131	0.37	Gm14207	cTEC
Mfap2	0.371	-0.610826380718991	0.258	0.411	0.633	Mfap2	cTEC
Slc39a8	0.371	-0.94986537521744	0.258	0.099	0.348	Slc39a8	cTEC
Fam101b	0.369	-0.741903322021006	0.262	0.427	0.621	Fam101b	cTEC
Penk	0.369	-0.944803446068455	0.262	0.191	0.431	Penk	cTEC
Psip1	0.368	-0.568749379743491	0.264	0.573	0.731	Psip1	cTEC
Kitl	0.366	-0.600960507919967	0.268	0.348	0.595	Kitl	cTEC
Fgf14	0.365	-0.907722370477208	0.27	0.128	0.391	Fgf14	cTEC
Ly75	0.365	-1.07087647078329	0.27	0.047	0.314	Ly75	cTEC
Hmga2	0.364	-0.681233088679576	0.272	0.44	0.659	Hmga2	cTEC
Man2a1	0.363	-0.819053894386323	0.274	0.312	0.54	Man2a1	cTEC
Pds5b	0.363	-1.28817263403327	0.274	0.332	0.549	Pds5b	cTEC
Smco4	0.363	-0.828773551280097	0.274	0.147	0.408	Smco4	cTEC
Acat1	0.358	-0.591752091886344	0.284	0.56	0.739	Acat1	cTEC
D930015E06Rik	0.358	-0.97204886485157	0.284	0.257	0.504	D930015E06Rik	cTEC
Galk1	0.353	-0.76890598809366	0.294	0.387	0.611	Galk1	cTEC
Cd83	0.351	-1.23281823550388	0.298	0.076	0.371	Cd83	cTEC
Cpm	0.351	-1.01326472243564	0.298	0.149	0.429	Cpm	cTEC
Mrps24	0.35	-0.610387227880234	0.3	0.571	0.757	Mrps24	cTEC
H2afy2	0.346	-0.559764755752332	0.308	0.584	0.77	H2afy2	cTEC
Hmg20b	0.345	-0.623625050575137	0.31	0.589	0.78	Hmg20b	cTEC
Limch1	0.338	-0.579468188857359	0.324	0.437	0.71	Limch1	cTEC
Csrp2	0.334	-0.978120622540909	0.332	0.309	0.588	Csrp2	cTEC
Siva1	0.333	-0.592575633816452	0.334	0.636	0.817	Siva1	cTEC
Limd2	0.332	-0.889303220093237	0.336	0.293	0.568	Limd2	cTEC
Sparc	0.332	-1.00923463284185	0.336	0.209	0.521	Sparc	cTEC
Cxcl12	0.326	-0.873915674571623	0.348	0.424	0.7	Cxcl12	cTEC
Eid1	0.325	-0.75730378402385	0.35	0.563	0.769	Eid1	cTEC
Fn1	0.318	-0.81461191248085	0.364	0.335	0.661	Fn1	cTEC
Ndufa11	0.318	-0.657013432488299	0.364	0.83	0.919	Ndufa11	cTEC
Nefm	0.317	-0.745121764444167	0.366	0.466	0.755	Nefm	cTEC
Pdlim1	0.317	-0.601971252344515	0.366	0.783	0.907	Pdlim1	cTEC
Kcnn3	0.314	-0.761832544281401	0.372	0.534	0.775	Kcnn3	cTEC
Prss16	0.311	-0.926924216762878	0.378	0.662	0.864	Prss16	cTEC
Snx3	0.309	-0.549155055142799	0.382	0.882	0.958	Snx3	cTEC
Serpinh1	0.306	-0.796620679448025	0.388	0.534	0.773	Serpinh1	cTEC
Ccdc34	0.305	-0.864674235653928	0.39	0.539	0.794	Ccdc34	cTEC
Cnn3	0.296	-0.55220564187537	0.408	0.796	0.94	Cnn3	cTEC
Pithd1	0.282	-1.10816134392296	0.436	0.437	0.744	Pithd1	cTEC
Ccl25	0.272	-1.23800462328145	0.456	0.427	0.775	Ccl25	cTEC
Hint1	0.272	-0.811264723347122	0.456	0.654	0.87	Hint1	cTEC
Pltp	0.269	-0.762372148022525	0.462	0.605	0.882	Pltp	cTEC
Hpgd	0.267	-1.31042555727084	0.466	0.243	0.646	Hpgd	cTEC
Igfbp2	0.267	-0.993693230154677	0.466	0.285	0.719	Igfbp2	cTEC
Psmb11	0.266	-1.4204012300208	0.468	0.372	0.734	Psmb11	cTEC
Plgrkt	0.243	-1.09860350077093	0.514	0.597	0.875	Plgrkt	cTEC
Hes6	0.197	-1.63337102550112	0.606	0.39	0.828	Hes6	cTEC
Ptn	0.194	-1.50272303443632	0.612	0.524	0.889	Ptn	cTEC
