myAUC	avg_diff	power	pct.1	pct.2	gene	cluster
Emp1	0.613	1.16170171396895	0.226	0.246	0.021	Emp1	mTEC
Grhl1	0.613	0.858427437129326	0.226	0.267	0.043	Grhl1	mTEC
Cxcl10	0.612	2.21467859453892	0.224	0.259	0.04	Cxcl10	mTEC
Klf6	0.612	1.15526606252404	0.224	0.393	0.186	Klf6	mTEC
Lpgat1	0.612	0.640423018820265	0.224	0.427	0.222	Lpgat1	mTEC
H2-Eb1	0.611	1.62953633937547	0.222	0.503	0.347	H2-Eb1	mTEC
Mgst3	0.61	0.724742223850708	0.22	0.45	0.267	Mgst3	mTEC
Scara3	0.61	0.764689577395616	0.22	0.291	0.076	Scara3	mTEC
1700024P16Rik	0.609	0.796907254996938	0.218	0.293	0.078	1700024P16Rik	mTEC
Anxa1	0.609	1.53923524930706	0.218	0.249	0.033	Anxa1	mTEC
Ctsz	0.609	0.973694432809533	0.218	0.353	0.151	Ctsz	mTEC
Ifngr2	0.609	0.768436481843058	0.218	0.395	0.194	Ifngr2	mTEC
F2rl1	0.608	1.02965595430527	0.216	0.249	0.035	F2rl1	mTEC
Egfl6	0.607	0.86290017739581	0.214	0.228	0.014	Egfl6	mTEC
H2-T23	0.607	0.940524883849989	0.214	0.277	0.068	H2-T23	mTEC
Mrpl38	0.607	0.685990816305561	0.214	0.5	0.328	Mrpl38	mTEC
Trafd1	0.607	0.555109433920104	0.214	0.448	0.247	Trafd1	mTEC
Adm	0.606	1.12953764338781	0.212	0.23	0.019	Adm	mTEC
Tmem176b	0.606	0.525020523061084	0.212	0.78	0.677	Tmem176b	mTEC
Ankrd22	0.605	0.732906320471858	0.21	0.312	0.106	Ankrd22	mTEC
Jup	0.605	0.622998801085629	0.21	0.463	0.294	Jup	mTEC
Mpzl2	0.605	0.70843338720947	0.21	0.445	0.262	Mpzl2	mTEC
Nfkb2	0.605	0.578086619761738	0.21	0.385	0.186	Nfkb2	mTEC
Aldh3b2	0.603	1.06806343774212	0.206	0.217	0.012	Aldh3b2	mTEC
Gja1	0.603	0.725941278275905	0.206	0.366	0.179	Gja1	mTEC
Hopx	0.603	0.954984879957731	0.206	0.209	0.003	Hopx	mTEC
Jak1	0.603	0.693795021796535	0.206	0.539	0.389	Jak1	mTEC
Nrarp	0.603	0.829478636692332	0.206	0.332	0.139	Nrarp	mTEC
Serpina3g	0.603	1.15387914241749	0.206	0.291	0.094	Serpina3g	mTEC
Fbn2	0.601	0.930847976106959	0.202	0.366	0.184	Fbn2	mTEC
Nfe2l3	0.601	0.833563858282486	0.202	0.249	0.045	Nfe2l3	mTEC
Plk2	0.601	0.727836902370852	0.202	0.325	0.131	Plk2	mTEC
Ppfibp2	0.6	0.965490114643736	0.2	0.264	0.07	Ppfibp2	mTEC
